image,wrapped,gt_count,pred_raw,pred_cal
image5.jpg,True,180,27,68
image6.jpg,True,180,29,71
image7.jpg,True,60,18,54
image8.jpg,True,60,34,79
image9.jpg,True,60,6,35
image10.jpg,True,60,18,54
image11.jpg,True,60,7,37
image12.jpg,True,60,15,49
image13.jpeg,True,47,13,46
image14.jpeg,True,47,31,74
image15.jpeg,True,21,14,48
image16.jpeg,True,21,8,38
image18.jpg,True,52,22,60
image19.jpeg,True,38,11,43
image20.jpeg,True,38,22,60
image21.jpeg,True,22,8,38
image22.jpeg,True,22,5,34
image1.jpeg,False,52,6,35
image2.jpeg,False,52,14,48
image3.jpeg,False,22,29,71
image4.jpeg,False,22,10,41
image5.jpeg,False,21,25,65
image6.jpeg,False,21,11,43
image7.jpeg,False,47,14,48
image8.jpeg,False,47,5,34
image9.jpeg,False,38,10,41
image10.jpeg,False,38,33,77
